time,power,energy
0,0,0
60,75,0.625
120,75,1.875
180,75,3.125
240,75,4.375
300,75,5.625
360,75,6.875
420,75,8.125
480,75,9.375
540,75,10.625
600,75,11.875
660,75,13.125
720,75,14.375
780,75,15.625
840,75,16.875
900,75,18.125
960,75,19.375
1020,75,20.625
1080,75,21.875
1140,75,23.125
1200,75,24.375
1260,75,25.625
1320,75,26.875
1380,75,28.125
1440,75,29.375
1500,75,30.625
1560,75,31.875
1620,75,33.125
1680,75,34.375
1740,75,35.625
1800,75,36.875
1860,75,38.125
1920,75,39.375
1980,75,40.625
2040,75,41.875
2100,75,43.125
2160,75,44.375
2220,75,45.625
2280,75,46.875
2340,75,48.125
2400,75,49.375
2460,75,50.625
2520,75,51.875
2580,75,53.125
2640,75,54.375
2700,75,55.625
2760,75,56.875
2820,75,58.125
2880,75,59.375
2940,75,60.625
3000,75,61.875
3060,75,63.125
3120,75,64.375
3180,75,65.625
3240,75,66.875
3300,75,68.125
3360,75,69.375
3420,75,70.625
3480,75,71.875
3540,75,73.125
3600,75,74.375
